Student_ID,Parent_Education_Level,Family_Income_Level,Internet_Access_at_Home,Stress_Level (1-10)
S1870,High School,Medium,No,1
S1871,Bachelor's,High,No,3
S1872,PhD,Low,Yes,1
S1873,PhD,Medium,Yes,9
S1874,PhD,Medium,No,5
S1875,Master's,High,No,4
S1876,None,High,No,8
S1877,High School,High,No,1
S1878,High School,Medium,No,9
S1879,High School,Low,No,2
S1880,Bachelor's,High,No,8
S1881,None,High,No,7
S1882,PhD,Low,Yes,10
S1883,PhD,Medium,Yes,2
S1884,None,Medium,No,10
S1885,PhD,Low,No,10
S1886,PhD,High,No,6
S1887,None,Medium,No,5
S1888,High School,High,No,7
S1889,Master's,High,Yes,2
S1890,None,Low,Yes,10
S1891,PhD,Medium,Yes,9
S1892,PhD,Low,No,3
S1893,Master's,Medium,Yes,1
S1894,Master's,High,No,8
S1895,Master's,High,No,7
S1896,None,Medium,Yes,7
S1897,High School,Medium,Yes,4
S1898,Master's,High,No,10
S1899,Bachelor's,High,Yes,3
S1900,High School,Low,No,9
S1901,Master's,High,Yes,3
S1902,PhD,High,Yes,7
S1903,None,Medium,No,7
S1904,PhD,Low,No,10
S1905,PhD,Low,Yes,7
S1906,None,Medium,No,1
S1907,High School,Medium,Yes,10
S1908,PhD,Low,Yes,2
S1909,High School,Medium,Yes,2
S1910,None,Medium,Yes,3
S1911,Master's,Low,No,4
S1912,PhD,Medium,No,1
S1913,PhD,Medium,No,5
S1914,None,Low,Yes,1
S1915,None,Low,No,7
S1916,Master's,Medium,No,7
S1917,None,High,Yes,2
S1918,Bachelor's,High,No,4
S1919,Bachelor's,Medium,Yes,9
S1920,None,Medium,No,1
S1921,Master's,High,Yes,10
S1922,Bachelor's,Low,Yes,6
S1923,PhD,High,No,10
S1924,Master's,High,No,1
S1925,None,Low,No,6
S1926,Bachelor's,Medium,No,1
S1927,Master's,Low,Yes,3
S1928,PhD,Medium,Yes,4
S1929,None,Medium,No,10
S1930,High School,High,Yes,5
S1931,Bachelor's,Low,No,7
S1932,PhD,Medium,Yes,2
S1933,Master's,Low,No,6
S1934,Bachelor's,Medium,No,4
S1935,Bachelor's,Low,Yes,6
S1936,None,Low,Yes,7
S1937,PhD,Medium,Yes,7
S1938,Bachelor's,Low,Yes,5
S1939,Bachelor's,Medium,No,7
S1940,PhD,Medium,No,3
S1941,Master's,Low,Yes,10
S1942,None,High,Yes,5
S1943,Bachelor's,Low,Yes,5
S1944,PhD,Medium,No,2
S1945,High School,Medium,No,4
S1946,Master's,Medium,Yes,2
S1947,None,Low,No,9
S1948,High School,High,Yes,9
S1949,Master's,High,No,1
S1950,Bachelor's,Medium,No,2
S1951,None,Medium,Yes,8
S1952,Master's,High,Yes,3
S1953,Master's,Medium,No,3
S1954,Master's,Medium,Yes,10
S1955,Master's,Medium,No,6
S1956,High School,Medium,No,5
S1957,None,High,Yes,4
S1958,Bachelor's,High,Yes,7
S1959,None,High,No,1
S1960,High School,Low,Yes,1
S1961,None,High,No,1
S1962,High School,Medium,Yes,8
S1963,High School,Low,No,9
S1964,High School,Medium,Yes,3
S1965,High School,Medium,No,1
S1966,Master's,Low,Yes,9
S1967,None,Medium,No,3
S1968,PhD,Medium,Yes,9
S1969,High School,Low,No,4
S1970,High School,High,Yes,1
S1971,None,Medium,No,5
S1972,Master's,High,Yes,7
S1973,Bachelor's,Medium,Yes,6
S1974,High School,Medium,No,4
S1975,Master's,Medium,Yes,10
S1976,Master's,Low,Yes,8
S1977,PhD,High,No,10
S1978,High School,Medium,No,10
S1979,Master's,High,Yes,1
S1980,PhD,Medium,Yes,4
S1981,Master's,Low,Yes,7
S1982,PhD,High,Yes,6
S1983,PhD,Low,No,1
S1984,PhD,High,Yes,5
S1985,Master's,High,No,6
S1986,Bachelor's,High,Yes,10
S1987,None,Medium,Yes,9
S1988,PhD,Low,Yes,5
S1989,High School,Medium,No,5
S1990,None,Medium,Yes,8
S1991,Bachelor's,Low,Yes,6
S1992,None,High,Yes,10
S1993,None,Low,Yes,8
S1994,Bachelor's,Medium,Yes,6
S1995,High School,Medium,No,9
S1996,PhD,High,Yes,8
S1997,Master's,Medium,Yes,8
S1998,High School,Medium,No,1
S1999,High School,Medium,No,4
S2000,PhD,Medium,No,2
S2001,High School,Medium,No,7
S2002,High School,Medium,Yes,10
S2003,None,Low,No,6
S2004,None,Medium,No,7
S2005,Bachelor's,High,No,5
S2006,Bachelor's,High,Yes,3
S2007,Bachelor's,Low,Yes,4
S2008,Master's,Medium,No,10
S2009,PhD,Low,Yes,1
S2010,Master's,Low,Yes,5
S2011,Master's,High,Yes,6
S2012,Bachelor's,High,No,7
S2013,PhD,Low,Yes,8
S2014,Master's,Medium,Yes,5
S2015,None,High,Yes,1
S2016,Master's,Medium,No,5
S2017,None,Medium,Yes,1
S2018,Master's,Low,No,8
S2019,PhD,Low,Yes,2
S2020,None,Medium,No,2
S2021,None,High,Yes,6
S2022,Bachelor's,High,Yes,9
S2023,None,High,No,5
S2024,Master's,High,No,6
S2025,Master's,Medium,Yes,3
S2026,Bachelor's,High,Yes,9
S2027,High School,High,Yes,4
S2028,None,Low,Yes,6
S2029,None,High,No,4
S2030,None,Low,Yes,6
S2031,Master's,High,Yes,1
S2032,PhD,Low,No,1
S2033,PhD,Medium,No,1
S2034,PhD,High,Yes,10
S2035,Bachelor's,Low,No,2
S2036,Bachelor's,High,No,7
S2037,Master's,Medium,Yes,3
S2038,PhD,Medium,No,1
S2039,High School,Medium,No,8
S2040,None,Medium,No,8
S2041,PhD,High,No,4
S2042,High School,Medium,Yes,7
S2043,None,High,No,2
S2044,None,Medium,No,6
S2045,Bachelor's,High,No,9
S2046,High School,Medium,No,7
S2047,PhD,Medium,Yes,6
S2048,PhD,Low,Yes,10
S2049,Master's,Medium,No,2
S2050,High School,High,No,4
S2051,None,Low,Yes,6
S2052,Bachelor's,Medium,No,5
S2053,Master's,Medium,Yes,5
S2054,Bachelor's,Low,Yes,4
S2055,None,High,No,8
S2056,None,Low,No,8
S2057,Bachelor's,Low,No,5
S2058,Master's,Medium,Yes,7
S2059,None,High,Yes,2
S2060,PhD,High,No,3
S2061,PhD,Low,No,10
S2062,PhD,Low,Yes,9
S2063,Master's,Medium,No,7
S2064,Master's,Medium,Yes,6
S2065,High School,Low,No,7
S2066,High School,Low,Yes,6
S2067,PhD,High,Yes,2
S2068,Bachelor's,Low,No,3
S2069,Bachelor's,Medium,No,5
S2070,PhD,Low,No,2
S2071,High School,High,Yes,3
S2072,Master's,High,No,7
S2073,Bachelor's,High,Yes,2
S2074,Master's,High,Yes,6
S2075,PhD,High,Yes,10
S2076,Master's,Medium,Yes,5
S2077,Bachelor's,High,No,3
S2078,High School,Medium,Yes,8
S2079,Bachelor's,Medium,No,6
S2080,None,High,No,9
S2081,Master's,High,Yes,1
S2082,Master's,Medium,Yes,3
S2083,Master's,Medium,Yes,10
S2084,PhD,High,Yes,8
S2085,PhD,Medium,No,1
S2086,Bachelor's,Low,Yes,8
S2087,High School,Low,Yes,10
S2088,None,Medium,Yes,5
S2089,High School,Medium,Yes,8
S2090,High School,Medium,Yes,10
S2091,None,Low,No,7
S2092,PhD,Medium,Yes,9
S2093,Master's,High,Yes,7
S2094,PhD,Low,No,4
S2095,Master's,Medium,No,1
S2096,Master's,Low,Yes,2
S2097,PhD,Low,No,2
S2098,High School,Low,No,1
S2099,Master's,High,No,10
S2100,PhD,High,Yes,7
S2101,High School,High,Yes,4
S2102,None,Low,No,10
S2103,Master's,Medium,Yes,7
S2104,High School,Low,Yes,8
S2105,Master's,Medium,No,6
S2106,High School,Medium,Yes,8
S2107,None,High,Yes,2
S2108,Master's,Medium,Yes,1
S2109,PhD,Medium,Yes,9
S2110,High School,High,Yes,9
S2111,None,Medium,Yes,9
S2112,Master's,High,Yes,4
S2113,None,Low,Yes,9
S2114,None,Medium,No,9
S2115,Master's,High,Yes,5
S2116,Master's,Low,No,1
S2117,High School,Low,No,8
S2118,PhD,High,Yes,1
S2119,None,Medium,Yes,3
S2120,Master's,Medium,No,3
S2121,None,Medium,No,5
S2122,High School,Medium,No,5
S2123,High School,High,Yes,5
S2124,High School,Low,No,4
S2125,PhD,Medium,No,1
S2126,Bachelor's,High,Yes,4
S2127,Bachelor's,High,Yes,10
S2128,Bachelor's,Medium,No,8
S2129,PhD,Medium,Yes,5
S2130,PhD,Low,Yes,7
S2131,None,High,Yes,1
S2132,None,High,No,5
S2133,High School,Low,Yes,10
S2134,PhD,Medium,No,8
S2135,Bachelor's,Medium,Yes,5
S2136,Bachelor's,Medium,Yes,1
S2137,None,Medium,Yes,2
S2138,High School,Low,No,6
S2139,High School,High,Yes,2
S2140,Master's,Medium,No,9
S2141,PhD,Low,No,9
S2142,Bachelor's,Low,Yes,2
S2143,Bachelor's,High,Yes,1
S2144,None,Low,Yes,7
S2145,None,High,Yes,7
S2146,PhD,Medium,No,3
S2147,None,High,No,2
S2148,None,Medium,No,9
S2149,Bachelor's,Medium,No,9
S2150,PhD,Medium,No,6
S2151,Bachelor's,Low,Yes,7
S2152,Bachelor's,Low,Yes,2
S2153,None,Low,No,6
S2154,Bachelor's,Medium,Yes,6
S2155,PhD,Low,No,8
S2156,None,Medium,Yes,9
S2157,PhD,Low,Yes,2
S2158,High School,Medium,Yes,7
S2159,PhD,Medium,No,9
S2160,PhD,High,Yes,6
S2161,Master's,Medium,No,7
S2162,PhD,High,Yes,9
S2163,Bachelor's,High,No,10
S2164,Bachelor's,Medium,Yes,4
S2165,None,Low,No,2
S2166,High School,Low,Yes,2
S2167,None,High,No,1
S2168,PhD,Medium,Yes,9
S2169,PhD,Medium,No,10
S2170,Bachelor's,Medium,No,4
S2171,PhD,High,Yes,5
S2172,PhD,Medium,No,4
S2173,Bachelor's,Low,Yes,4
S2174,High School,High,No,6
S2175,PhD,High,No,6
S2176,Master's,High,No,1
S2177,High School,Low,No,1
S2178,High School,Low,No,7
S2179,Bachelor's,High,Yes,1
S2180,None,Low,No,1
S2181,PhD,Low,Yes,6
S2182,PhD,Low,Yes,8
S2183,None,Medium,Yes,7
S2184,PhD,Medium,No,6
S2185,Master's,High,Yes,7
S2186,None,High,Yes,2
S2187,Bachelor's,Medium,No,6
S2188,None,High,No,9
S2189,High School,Medium,No,4
S2190,Bachelor's,Medium,No,2
S2191,High School,High,Yes,9
S2192,Bachelor's,Medium,No,8
S2193,None,High,Yes,8
S2194,High School,Low,Yes,7
S2195,Bachelor's,Low,No,8
S2196,PhD,Medium,No,3
S2197,High School,Medium,No,6
S2198,Master's,Low,Yes,7
S2199,Bachelor's,Low,No,5
S2200,PhD,Medium,No,2
S2201,PhD,Low,No,10
S2202,None,Medium,No,7
S2203,None,Low,Yes,2
S2204,High School,Low,Yes,9
S2205,High School,Medium,No,9
S2206,Master's,Medium,No,10
S2207,PhD,Medium,No,6
S2208,Bachelor's,Medium,No,4
S2209,Master's,High,Yes,10
S2210,Master's,High,No,4
S2211,Master's,Medium,No,5
S2212,Bachelor's,High,No,7
S2213,Master's,Low,Yes,8
S2214,None,Medium,Yes,10
S2215,None,High,No,8
S2216,None,Medium,No,7
S2217,Master's,Low,Yes,6
S2218,Master's,Low,No,2
S2219,PhD,Medium,No,8
S2220,High School,High,No,4
S2221,PhD,Medium,No,8
S2222,None,Medium,Yes,5
S2223,High School,Low,Yes,3
S2224,PhD,Medium,Yes,6
S2225,Bachelor's,High,No,2
S2226,Bachelor's,Medium,Yes,6
S2227,Bachelor's,Medium,Yes,6
S2228,None,Low,Yes,1
S2229,High School,Low,Yes,10
S2230,None,Low,Yes,5
S2231,Bachelor's,Low,Yes,5
S2232,Master's,High,Yes,8
S2233,None,Low,No,7
S2234,High School,Medium,No,9
S2235,None,Low,Yes,10
S2236,High School,High,No,3
S2237,Master's,High,Yes,1
S2238,PhD,Low,No,7
S2239,High School,Low,Yes,9
S2240,High School,Low,Yes,10
S2241,Bachelor's,Low,Yes,10
S2242,Bachelor's,Medium,No,7
S2243,Master's,Medium,No,10
S2244,None,High,Yes,7
S2245,PhD,Low,No,10
S2246,PhD,Low,Yes,6
S2247,Master's,Medium,No,5
S2248,PhD,Low,Yes,5
S2249,None,Medium,Yes,8
S2250,Bachelor's,High,No,9
S2251,Master's,High,Yes,4
S2252,PhD,Low,Yes,10
S2253,Master's,Low,Yes,1
S2254,Master's,Low,Yes,5
S2255,High School,Medium,No,4
S2256,High School,Medium,Yes,4
S2257,Master's,High,No,1
S2258,High School,Medium,No,3
S2259,PhD,Low,Yes,3
S2260,Master's,High,Yes,8
S2261,High School,Low,Yes,6
S2262,PhD,Medium,No,6
S2263,Bachelor's,Medium,Yes,6
S2264,Bachelor's,Low,No,8
S2265,Master's,Low,Yes,5
S2266,None,High,Yes,3
S2267,PhD,Medium,No,1
S2268,Master's,Medium,Yes,8
S2269,High School,High,Yes,10
S2270,Bachelor's,High,Yes,4
S2271,High School,Medium,No,3
S2272,PhD,High,No,8
S2273,Master's,Medium,Yes,10
S2274,Bachelor's,Medium,No,7
S2275,PhD,High,No,8
S2276,Bachelor's,High,Yes,2
S2277,Bachelor's,High,No,8
S2278,Master's,Medium,Yes,4
S2279,Master's,High,No,2
S2280,None,Medium,Yes,4
S2281,None,Low,No,8
S2282,None,High,No,6
S2283,None,Medium,Yes,3
S2284,High School,Medium,Yes,7
S2285,None,Medium,No,6
S2286,High School,High,Yes,5
S2287,Bachelor's,High,Yes,6
S2288,High School,Low,Yes,3
S2289,Bachelor's,High,Yes,5
S2290,None,Low,Yes,3
S2291,High School,Low,No,2
S2292,Bachelor's,Low,No,2
S2293,None,Low,No,2
S2294,Bachelor's,High,Yes,10
S2295,Master's,Low,No,4
S2296,Bachelor's,High,Yes,2
S2297,None,High,No,4
S2298,PhD,High,Yes,9
S2299,Master's,High,No,3
S2300,High School,High,No,5
S2301,Master's,Medium,No,2
S2302,None,High,Yes,7
S2303,Bachelor's,High,Yes,10
S2304,PhD,Low,No,5
S2305,None,Low,Yes,7
S2306,Bachelor's,Low,No,3
S2307,None,Low,No,6
S2308,PhD,Low,No,3
S2309,Bachelor's,Low,No,1
S2310,PhD,High,No,8
S2311,Bachelor's,High,No,9
S2312,Master's,Low,Yes,5
S2313,None,Medium,Yes,1
S2314,High School,Medium,No,2
S2315,High School,High,Yes,8
S2316,None,High,Yes,7
S2317,High School,Medium,No,4
S2318,PhD,Medium,No,3
S2319,High School,Low,No,4
S2320,None,Medium,Yes,5
S2321,Master's,Low,No,4
S2322,None,High,Yes,9
S2323,None,High,No,1
S2324,Bachelor's,Low,Yes,1
S2325,High School,High,No,10
S2326,High School,High,Yes,7
S2327,Bachelor's,Low,Yes,3
S2328,PhD,Medium,Yes,4
S2329,PhD,High,Yes,1
S2330,Bachelor's,Medium,Yes,2
S2331,High School,Medium,No,5
S2332,PhD,High,Yes,4
S2333,PhD,Medium,No,3
S2334,Master's,High,Yes,2
S2335,PhD,High,No,1
S2336,High School,Low,Yes,1
S2337,Master's,High,Yes,1
S2338,Master's,Low,No,7
S2339,High School,Low,Yes,1
S2340,Bachelor's,Low,Yes,2
S2341,None,Low,Yes,2
S2342,PhD,Low,No,8
S2343,Bachelor's,Medium,Yes,5
S2344,None,Low,No,4
S2345,High School,Low,Yes,3
S2346,PhD,Medium,Yes,8
S2347,Bachelor's,Low,Yes,10
S2348,None,Medium,Yes,6
S2349,High School,Medium,Yes,7
S2350,Master's,Low,Yes,5
S2351,Master's,High,No,5
S2352,Master's,High,No,10
S2353,High School,Low,No,8
S2354,None,High,Yes,1
S2355,High School,Low,No,3
S2356,Master's,Low,Yes,7
S2357,High School,Medium,No,3
S2358,PhD,Low,No,9
S2359,None,Low,No,2
S2360,PhD,High,Yes,1
S2361,Master's,Medium,Yes,7
S2362,None,Medium,Yes,9
S2363,PhD,High,Yes,4
S2364,High School,Low,No,9
S2365,Bachelor's,Medium,No,3
S2366,High School,Medium,Yes,8
S2367,Master's,High,No,9
S2368,Bachelor's,Medium,Yes,5
S2369,None,Low,Yes,5
S2370,Bachelor's,High,No,5
S2371,None,Low,Yes,9
S2372,PhD,Medium,No,9
S2373,PhD,High,Yes,3
S2374,PhD,Low,Yes,4
S2375,PhD,Medium,Yes,6
S2376,PhD,Low,Yes,8
S2377,Bachelor's,Low,Yes,2
S2378,None,High,Yes,4
S2379,PhD,Low,No,5
S2380,PhD,Medium,No,6
S2381,None,Medium,Yes,1
S2382,Bachelor's,Medium,No,6
S2383,PhD,Medium,Yes,10
S2384,Bachelor's,Low,Yes,7
S2385,PhD,Medium,Yes,9
S2386,Bachelor's,High,No,8
S2387,Master's,Low,No,3
S2388,PhD,High,Yes,5
S2389,PhD,Medium,Yes,1
S2390,High School,High,No,9
S2391,High School,Medium,No,10
S2392,Bachelor's,Low,No,7
S2393,High School,High,No,3
S2394,Bachelor's,Low,Yes,6
S2395,PhD,Medium,No,10
S2396,PhD,Low,No,1
S2397,Master's,High,Yes,3
S2398,Master's,High,Yes,1
S2399,High School,High,No,7
S2400,PhD,Medium,Yes,3
S2401,Bachelor's,High,Yes,5
S2402,High School,High,Yes,5
S2403,Master's,High,No,9
S2404,None,Low,Yes,1
S2405,Bachelor's,Medium,Yes,3
S2406,None,Medium,Yes,4
S2407,High School,Medium,Yes,4
S2408,High School,Medium,No,8
S2409,None,High,No,8
S2410,High School,Medium,No,4
S2411,High School,Medium,No,10
S2412,PhD,High,No,9
S2413,Bachelor's,High,No,9
S2414,Master's,High,Yes,3
S2415,PhD,High,No,9
S2416,High School,Low,No,8
S2417,Master's,Medium,Yes,4
S2418,High School,High,No,10
S2419,Bachelor's,Medium,Yes,5
S2420,High School,Low,Yes,2
S2421,None,High,No,7
S2422,None,Low,No,2
S2423,None,Medium,Yes,1
S2424,None,Low,Yes,10
S2425,Master's,Medium,Yes,5
S2426,None,Medium,Yes,8
S2427,High School,Medium,Yes,4
S2428,PhD,Medium,Yes,1
S2429,High School,Medium,Yes,4
S2430,High School,High,No,9
S2431,High School,High,Yes,8
S2432,High School,Low,No,9
S2433,PhD,Low,No,7
S2434,None,High,No,6
S2435,Bachelor's,Medium,Yes,6
S2436,Master's,Medium,No,1
S2437,PhD,High,Yes,3
S2438,PhD,Medium,Yes,2
S2439,PhD,Low,No,7
S2440,Master's,Medium,Yes,10
S2441,High School,Medium,No,6
S2442,Master's,Low,Yes,3
S2443,PhD,Low,No,4
S2444,High School,High,No,1
S2445,PhD,Medium,No,4
S2446,Bachelor's,Low,Yes,2
S2447,None,Low,Yes,5
S2448,None,Low,Yes,9
S2449,PhD,Low,Yes,9
S2450,High School,Low,No,1
S2451,Bachelor's,Low,No,6
S2452,Bachelor's,High,No,2
S2453,High School,Medium,No,1
S2454,High School,Medium,No,9
S2455,Bachelor's,Medium,Yes,2
S2456,None,Medium,Yes,6
S2457,None,Medium,Yes,6
S2458,Bachelor's,Medium,No,3
S2459,Master's,Medium,Yes,6
S2460,Bachelor's,High,No,4
S2461,PhD,Low,No,8
S2462,Master's,Low,No,4
S2463,High School,Low,No,7
S2464,Bachelor's,High,Yes,10
S2465,Bachelor's,Low,No,2
S2466,Master's,High,Yes,6
S2467,Bachelor's,High,Yes,10
S2468,PhD,High,No,5
S2469,None,High,No,1
S2470,Bachelor's,Low,Yes,5
S2471,None,Medium,No,6
S2472,High School,Low,No,2
S2473,High School,High,No,7
S2474,Bachelor's,High,Yes,1
S2475,High School,High,Yes,1
S2476,Bachelor's,Low,No,1
S2477,None,Medium,Yes,2
S2478,Master's,Low,Yes,1
S2479,Bachelor's,High,Yes,7
S2480,Master's,Medium,No,5
S2481,None,High,Yes,7
S2482,None,Medium,Yes,5
S2483,Master's,Medium,Yes,8
S2484,Bachelor's,High,Yes,10
S2485,Master's,Low,Yes,8
S2486,Bachelor's,Low,Yes,9
S2487,Bachelor's,Medium,No,3
S2488,Master's,High,Yes,2
S2489,None,High,Yes,7
S2490,PhD,High,No,7
S2491,High School,Low,Yes,3
S2492,PhD,Medium,No,2
S2493,None,High,No,10
S2494,High School,Low,Yes,2
S2495,Master's,Low,No,3
S2496,PhD,Low,No,8
S2497,Bachelor's,High,Yes,8
S2498,None,Medium,Yes,1
S2499,None,High,Yes,9
S2500,None,Low,No,5
S2501,PhD,Low,No,5
S2502,Bachelor's,Medium,No,2
S2503,PhD,Low,No,5
S2504,Bachelor's,Low,No,6
S2505,High School,Low,No,7
S2506,Master's,Medium,No,1
S2507,None,Low,No,3
S2508,Bachelor's,High,No,4
S2509,PhD,Low,Yes,7
S2510,PhD,Low,No,8
S2511,None,Low,Yes,5
S2512,None,Low,Yes,7
S2513,None,High,Yes,2
S2514,High School,High,Yes,8
S2515,Master's,High,No,2
S2516,Bachelor's,High,No,3
S2517,None,High,Yes,3
S2518,Bachelor's,Medium,Yes,6
S2519,PhD,High,No,10
S2520,Master's,Medium,No,6
S2521,Master's,High,Yes,1
S2522,Bachelor's,Medium,No,10
S2523,PhD,Low,Yes,2
S2524,PhD,High,No,5
S2525,High School,Medium,No,9
S2526,None,Low,Yes,6
S2527,PhD,High,Yes,6
S2528,None,Medium,No,1
S2529,None,Low,Yes,8
S2530,Bachelor's,Medium,No,9
S2531,None,High,No,5
S2532,Bachelor's,Low,No,10
S2533,Master's,Low,No,3
S2534,PhD,Low,Yes,10
S2535,Bachelor's,High,No,5
S2536,High School,Low,Yes,5
S2537,Bachelor's,Medium,Yes,1
S2538,None,High,Yes,9
S2539,High School,Low,No,10
S2540,None,High,No,2
S2541,High School,High,Yes,5
S2542,Bachelor's,Low,Yes,1
S2543,None,Low,Yes,7
S2544,Bachelor's,Low,Yes,7
S2545,PhD,Medium,Yes,5
S2546,High School,Low,Yes,10
S2547,Master's,Medium,Yes,10
S2548,Master's,Low,Yes,2
S2549,Bachelor's,High,No,8
S2550,High School,High,No,3
S2551,High School,Low,No,5
S2552,Bachelor's,Low,No,6
S2553,Master's,Low,No,6
S2554,PhD,High,No,8
S2555,Master's,High,No,1
S2556,None,High,No,5
S2557,Master's,Low,No,7
S2558,None,Low,Yes,5
S2559,None,High,No,8
S2560,PhD,Medium,Yes,2
S2561,PhD,Low,Yes,5
S2562,Master's,Low,No,4
S2563,Bachelor's,Medium,Yes,3
S2564,Master's,High,No,2
S2565,PhD,Low,Yes,8
S2566,None,Medium,No,4
S2567,None,Medium,No,10
S2568,Bachelor's,High,No,10
S2569,Master's,Medium,No,4
S2570,Bachelor's,High,Yes,4
S2571,Bachelor's,Medium,No,9
S2572,Master's,Low,No,7
S2573,High School,High,Yes,10
S2574,Master's,High,Yes,3
S2575,Bachelor's,Medium,No,5
S2576,High School,Low,No,4
S2577,Bachelor's,Medium,No,1
S2578,Bachelor's,Medium,No,4
S2579,Bachelor's,Medium,Yes,7
S2580,None,Low,No,5
S2581,Master's,Low,No,6
S2582,PhD,Medium,No,6
S2583,None,High,No,7
S2584,Master's,High,Yes,1
S2585,None,High,Yes,6
S2586,Master's,High,No,9
S2587,High School,Medium,No,10
S2588,PhD,Medium,No,5
S2589,High School,Low,Yes,7
S2590,High School,High,No,3
S2591,Master's,Medium,No,4
S2592,Bachelor's,High,Yes,4
S2593,Bachelor's,High,Yes,6
S2594,Bachelor's,Medium,No,3
S2595,Bachelor's,Medium,Yes,3
S2596,PhD,Medium,No,10
S2597,High School,High,Yes,5
S2598,None,Low,No,2
S2599,PhD,High,Yes,1
S2600,Master's,Medium,Yes,2
S2601,PhD,High,No,9
S2602,PhD,Low,Yes,3
S2603,Master's,Medium,Yes,3
S2604,None,Medium,Yes,1
S2605,High School,High,No,2
S2606,PhD,Medium,Yes,6
S2607,Master's,Low,No,2
S2608,Master's,Medium,Yes,10
S2609,None,High,No,10
S2610,PhD,Medium,Yes,8
S2611,Master's,High,Yes,6
S2612,None,Medium,No,2
S2613,None,Medium,Yes,10
S2614,Master's,High,No,6
S2615,Master's,Low,No,2
S2616,PhD,High,No,1
S2617,PhD,Low,Yes,5
S2618,High School,High,No,5
S2619,Master's,Medium,No,8
S2620,Bachelor's,Low,No,4
S2621,Bachelor's,High,Yes,2
S2622,High School,High,Yes,7
S2623,Master's,High,Yes,3
S2624,None,High,No,3
S2625,Bachelor's,Low,No,8
S2626,PhD,Low,Yes,3
S2627,Bachelor's,Low,Yes,2
S2628,Master's,Low,Yes,10
S2629,Bachelor's,High,No,9
S2630,High School,Low,Yes,8
S2631,PhD,Low,Yes,2
S2632,High School,Medium,Yes,8
S2633,None,Medium,Yes,5
S2634,None,Low,No,10
S2635,None,Medium,Yes,10
S2636,None,Medium,Yes,4
S2637,Master's,Medium,Yes,10
S2638,Master's,Medium,Yes,5
S2639,Master's,High,No,10
S2640,High School,Medium,Yes,5
S2641,High School,High,No,1
S2642,Bachelor's,High,No,5
S2643,PhD,Medium,No,7
S2644,High School,High,No,8
S2645,Bachelor's,High,Yes,8
S2646,None,High,No,2
S2647,None,High,No,10
S2648,High School,Medium,No,1
S2649,Master's,Medium,Yes,4
S2650,Bachelor's,High,No,3
S2651,PhD,Medium,No,8
S2652,Bachelor's,Low,Yes,6
S2653,Master's,Low,Yes,5
S2654,Master's,Medium,No,9
S2655,High School,Low,No,6
S2656,Master's,Medium,Yes,6
S2657,Master's,High,Yes,1
S2658,PhD,Medium,Yes,9
S2659,Master's,High,No,2
S2660,None,Low,No,1
S2661,Master's,High,No,7
S2662,None,High,Yes,5
S2663,PhD,Low,No,6
S2664,High School,Medium,No,4
S2665,None,Medium,No,8
S2666,High School,Medium,No,7
S2667,High School,Medium,Yes,1
S2668,None,High,Yes,6
S2669,Bachelor's,High,Yes,3
S2670,Master's,Low,No,8
S2671,PhD,Low,No,6
S2672,High School,High,Yes,6
S2673,Bachelor's,Low,Yes,5
S2674,High School,Medium,No,8
S2675,Bachelor's,High,No,6
S2676,PhD,Low,No,7
S2677,Bachelor's,Low,No,9
S2678,PhD,Medium,Yes,6
S2679,Master's,High,No,6
S2680,Bachelor's,Low,Yes,9
S2681,High School,Low,Yes,6
S2682,Master's,Low,Yes,7
S2683,High School,Medium,No,4
S2684,High School,Low,No,5
S2685,Master's,High,Yes,8
S2686,Master's,Medium,No,10
S2687,PhD,High,Yes,10
S2688,Bachelor's,Medium,Yes,5
S2689,PhD,Low,No,4
S2690,None,High,No,8
S2691,None,Low,Yes,5
S2692,PhD,High,No,2
S2693,PhD,Low,Yes,10
S2694,Bachelor's,Low,No,8
S2695,Master's,High,No,8
S2696,None,Medium,No,7
S2697,Master's,High,No,9
S2698,High School,Medium,Yes,9
S2699,High School,High,Yes,4
S2700,Master's,High,Yes,7
S2701,High School,High,No,1
S2702,None,Medium,No,1
S2703,None,Low,Yes,3
S2704,High School,Medium,Yes,6
S2705,None,Low,Yes,10
S2706,High School,Low,No,8
S2707,Bachelor's,High,Yes,5
S2708,Bachelor's,High,Yes,3
S2709,Master's,Low,Yes,2
S2710,High School,Medium,No,10
S2711,Bachelor's,High,No,8
S2712,Bachelor's,Low,Yes,9
S2713,None,High,No,7
S2714,Master's,Medium,No,6
S2715,Master's,High,Yes,10
S2716,Bachelor's,Low,No,2
S2717,Bachelor's,Low,No,2
S2718,Master's,High,Yes,6
S2719,None,Medium,Yes,9
S2720,PhD,Medium,Yes,9
S2721,None,Low,No,9
S2722,PhD,High,Yes,3
S2723,Master's,Low,Yes,3
S2724,Master's,Medium,No,9
S2725,Master's,High,No,5
S2726,High School,Medium,No,3
S2727,High School,Low,No,7
S2728,High School,High,No,6
S2729,Master's,Medium,No,10
S2730,Bachelor's,High,No,3
S2731,Master's,High,No,6
S2732,PhD,Medium,No,10
S2733,None,Low,Yes,9
S2734,PhD,Medium,No,2
S2735,None,Medium,Yes,5
S2736,PhD,High,No,10
S2737,None,High,Yes,5
S2738,Bachelor's,Medium,No,6
S2739,None,Medium,Yes,2
S2740,Master's,Low,No,6
