Student_ID,Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Projects_Score,Total_Score,Grade
S2103,59.49,43.14,63.89,81.75,81.34,62.014,D
S2104,95.92,99.55,85.02,94.58,95.45,95.0915,A
S2105,80.71,70.46,70.59,96.77,63.29,70.529,C
S2106,89.6,41.45,65.82,83.81,71.09,67.7685,D
S2107,56.27,72.47,96.95,75.93,54.29,67.2455,D
S2108,72.63,92.22,63.14,94.1,72.81,77.9885,C
S2109,98.28,86.35,69.91,78.39,75.32,78.456,C
S2110,59.12,82.05,69.11,56.34,80.8,72.136,C
S2111,49.63,48.37,62.06,68.34,53.2,52.93,F
S2112,70.65,79.46,60.87,72.3,51.62,67.064,D
S2113,63.27,85.98,65.12,96.77,70.99,72.0325,C
S2114,49.57,74.35,93.21,82.96,59.46,67.5135,D
S2115,93.31,93.56,88.35,93.76,87.94,90.862,A
S2116,99.44,56.62,84.05,87.88,83.44,77.8985,C
S2117,74.11,54.53,72.86,65.49,66.29,65.114,D
S2118,86.48,92.17,75.39,85.94,52.29,74.864,C
S2119,91.54,77.52,63.36,59.76,59.12,66.682,D
S2120,82.06,40.09,53.72,70.41,84.58,62.8945,D
S2121,42.65,61.19,66.55,90.3,99.51,75.2505,C
S2122,49.46,91.47,74.78,80.6,66.32,70.8195,C
S2123,44.26,41.64,52.87,91.27,90.1,63.0365,D
S2124,40.59,40.19,54.41,62.74,93.35,61.9865,D
S2125,58.36,56.88,63.15,87.49,52.41,58.0985,F
S2126,63.54,94.84,68.35,60.12,95.81,81.9135,B
S2127,54.46,94.09,69.67,77.27,73.31,74.152,C
S2128,43.88,71.13,55.89,71.68,98.21,73.664,C
S2129,71.79,73.19,61.29,77.82,76.93,70.5155,C
S2130,56.4,59.92,63.08,56.78,61.76,58.128,F
S2131,87.76,54.62,53.38,68.06,98.73,75.411,C
S2132,40.48,88.91,66.3,83.35,62.17,66.8605,D
S2133,90.55,46.38,53.61,77.93,94.12,71.308,C
S2134,97.29,69.24,85.17,77.45,58.66,73.992,C
S2135,82.97,78.06,69.3,75.54,83.74,78.2115,C
S2136,84.02,46.22,66.34,97.19,70.56,67.206,D
S2137,96.01,71.18,56.33,96.73,98.6,81.149,B
S2138,52.54,74.65,61.33,68.01,59.24,64.136,D
S2139,99.67,84.55,61.64,67.59,70.44,74.125,C
S2140,86.41,54.09,99.26,77.74,81.99,78.384,C
S2141,83.59,57.6,91.77,54.78,98.88,76.596,C
S2142,61.67,74.17,50.76,65.15,65.19,65.504,D
S2143,72.75,98.99,80.84,61.54,69.84,77.012,C
S2144,79.24,53.05,62.8,61.17,73.09,63.5425,D
S2145,77.22,99.15,55.22,81.93,62.64,73.6485,C
S2146,82.3,82.86,85.28,69.22,90.87,81.145,B
S2147,44.94,89.56,56.58,58.56,54.6,60.534,D
S2148,61.34,45.38,72.19,94.38,85.24,67.5795,D
S2149,66.04,58.03,81.61,93.71,76.7,73.371,C
S2150,55.64,43.46,77.72,93.12,62.1,59.341,F
S2151,50.36,62.29,98.88,69.54,74.64,72.1695,C
S2152,48.34,98.88,89.29,52.85,91.5,78.1245,C
S2153,61.98,46.32,88.71,55.34,72.27,64.6885,D
S2154,69.61,73.74,67.78,63.8,56.09,66.5355,D
S2155,43.78,40.36,50.42,61,52.04,50.602,F
S2156,96.79,82.76,86.72,93.7,88.89,84.9735,B
S2157,85.91,51.83,99.99,99.32,66.52,74.2205,C
S2158,83.85,47.78,70.29,90.83,96.56,73.652,C
S2159,50.37,60.22,99.28,86.49,80.86,72.1745,C
S2160,76.23,86.26,57.09,79.43,71.81,74.709,C
S2161,71.78,46.4,64.83,88.5,78.22,66.1375,D
S2162,98.95,53.79,58.54,97.35,72.86,70.229,C
S2163,84.86,40.51,73.76,80.07,95.29,71.0945,C
S2164,74.55,98.1,89.85,57.73,72.9,77.158,C
S2165,91.05,75.53,67.03,58.19,55.2,65.5485,D
S2166,49.31,83.19,95.31,79.19,79.85,78.7395,C
S2167,40.91,79.08,77.24,66.67,81.15,68.5595,D
S2168,81.41,48.66,73.27,95.51,88.27,74.864,C
S2169,45.9,75.7,89.35,80.58,96.66,80.1135,B
S2170,46.93,47.88,55.07,83.82,72.15,60.137,D
S2171,84.68,64.07,88.69,50.29,67.6,70.987,C
S2172,56.23,74.14,62.15,74.94,74.54,69.408,D
S2173,77.72,73.53,64.04,71.56,95.01,77.5855,C
S2174,95.04,47.14,79.97,85.29,99,78.1805,C
S2175,58.99,42.07,95.1,69.13,98.56,74.817,C
S2176,53.03,87.89,78.92,98.83,61.48,74.952,C
S2177,46.39,83.56,82.45,83.51,74.84,74.274,C
S2178,47.83,44.91,88.83,83,62.97,59.9025,F
S2179,43.73,47.64,62.97,95.97,68.4,60.272,D
S2180,45.26,93.56,91.36,99.76,51.58,71.818,C
S2181,65.92,86.15,70.9,59.89,58.03,69.2485,D
S2182,59.25,99.77,58.78,90.53,69.85,75.995,C
S2183,82.39,55.24,67.51,58.12,68.24,65.154,D
S2184,92.21,69.27,62.31,72.85,63.94,70.3625,C
S2185,87.09,54.19,61.44,55.01,61.52,59.904,F
S2186,71.84,77.37,64.13,81.17,87.45,77.975,C
S2187,46.15,46.92,59.05,73.43,64.73,55.332,F
S2188,82.59,47.63,83.39,81.43,85.33,73.8265,C
S2189,61.77,44.31,79,83.9,68.43,61.682,D
S2190,45.14,81.62,82.42,80.97,90.1,75.236,C
S2191,90.55,69.64,67.19,64.7,58.36,65.229,D
S2192,60.29,77.06,88.49,91.85,57.88,72.681,C
S2193,53.09,92.76,56.48,77.58,83.98,75.6025,C
S2194,92.29,84.42,78.56,74.49,95.75,84.7165,B
S2195,94.13,67.7,63.77,99.35,57.15,71.63,C
S2196,60.34,99.06,76.38,64.18,53.69,70.928,C
S2197,61.29,67.38,66.18,76.4,96.73,75.7245,C
S2198,74.78,46.75,89.53,84.12,55.87,63.942,D
S2199,84.01,99.56,94.56,56.26,62.52,76.0975,C
S2200,43.79,41.37,87.13,67.71,96.47,66.9825,D
S2201,75.6,72.99,58.78,90.08,90.15,75.0025,C
S2202,97.17,58.55,63.74,61.84,67.14,68.41,D
S2203,55.73,70.21,95.97,74.66,97.73,78.3375,C
S2204,94.53,73.52,71.86,81.53,78.4,77.2615,C
S2205,97.01,54.41,97.06,83.56,53.61,68.917,D
S2206,56.15,73.41,69.62,86.42,85.15,72.12,C
S2207,85.25,85.36,97.59,93.3,76.86,85.944,B
S2208,54.33,55.99,96.29,69.64,78.63,71.8085,C
S2209,84.26,63.01,83.03,85.33,99.71,79.717,C
S2210,87.85,56.09,50.44,86.61,57.63,64.851,D
S2211,54.83,89.23,70.02,65.01,82.84,74.828,C
S2212,82.95,83.5,95.56,98.41,72.94,83.2445,B
S2213,88.73,92.27,94.26,93.26,63.59,79.674,C
S2214,61.51,50.2,59.37,64.49,84.68,63.195,D
S2215,50.06,44.41,69.96,83.75,83.41,66.9585,D
S2216,45.52,47.16,91.78,85.89,92.82,73.31,C
S2217,74.52,49.66,78.89,71.57,93.94,73.0955,C
S2218,98.69,71.98,92.36,93.19,78.09,83.7485,B
S2219,89.38,98.25,91.33,84.51,66.28,83.339,B
S2220,66.15,61.43,95.37,82.91,76.48,71.7455,C
S2221,72.2,97.51,55.86,61.04,67.96,71.7235,C
S2222,56.77,42.29,57.26,70.39,63.87,54.557,F
S2223,49.78,95.61,54.14,71.7,77.58,73.8045,C
S2224,68.92,50.87,96.76,86.68,82.9,76.0325,C
S2225,67.81,94.75,73.76,80.92,79.53,79.604,C
S2226,71.32,43.37,53.22,54.29,97.72,67.5485,D
S2227,97.17,96.89,66.08,65.38,64.93,78.457,C
S2228,76.23,52.05,67.57,73.65,68.62,63.6535,D
S2229,76.35,58.16,90.48,86.84,83.38,74.9425,C
S2230,47.68,69.46,86.77,87.18,80.02,72.3165,C
S2231,99.79,62.84,84.47,74.53,50.09,68.804,D
S2232,86.37,80.05,51.09,55.85,65.61,70.1495,C
S2233,92.63,98.49,95.53,64.65,62.69,79.3885,C
S2234,64.86,76.39,60.78,62.73,92,74.1715,C
S2235,70.13,83.29,81.45,89.05,93.31,84.2175,B
S2236,71.33,45.28,53.09,59,64.19,55.575,F
S2237,51.65,77.67,54.08,73.25,55.1,61.697,D
S2238,81.37,67.23,50.48,83.54,60.26,63.737,D
S2239,94.18,93.15,78.3,98.24,58.83,79.3275,C
S2240,49.82,63.29,81.47,99.96,61.87,67.913,D
S2241,45.18,80.77,52.52,97.65,61.73,64.3165,D
S2242,84.29,53.69,64.52,85.91,73.99,70.777,C
S2243,56.39,55.56,92.57,87.32,65.98,66.435,D
S2244,77.43,62.57,55.07,87.96,77.99,68.6655,D
S2245,81.75,58.24,60.83,93.13,67.21,67.748,D
S2246,59.31,55.23,71.22,97.59,90.73,74.745,C
S2247,88.91,42.98,92.11,72.29,97.54,74.734,C
S2248,73,90.2,62.74,70.83,70.2,72.694,C
S2249,92.14,43.86,99.86,73.02,52.47,66.073,D
S2250,85.8,93.24,67.76,82.99,61.98,75.027,C
S2251,92.11,47.53,69.32,88.77,55.09,61.856,D
S2252,41.21,43.92,56.11,93.53,67.24,56.763,F
S2253,54.61,73.78,84.01,72.81,82.26,75.302,C
S2254,45.4,70.15,62.17,68.17,75.95,68.115,D
S2255,66.52,69.47,81.44,99.17,62.14,68.3205,D
S2256,93.4,74.47,61.16,61.59,88.36,77.3135,C
S2257,68.05,57.22,69.39,61.1,56.57,58.527,F
S2258,90.98,79.78,92.83,85.77,61.41,77.9165,C
S2259,59.63,70.14,86.95,58.98,83.8,70.6,C
S2260,60.37,60.08,57.73,69.97,59.86,57.765,F
S2261,93.73,89.59,80.39,64.62,83.94,84.0445,B
S2262,65.55,83.66,81.43,58.44,98.85,78.831,C
S2263,87.39,63.62,54.53,78.99,91.57,74.088,C
S2264,54.2,90.86,73.29,68.68,58,70.8965,C
S2265,96.93,95.22,63.03,73.11,76.02,82.841,B
S2266,74.47,72.21,73.36,59.79,71.12,68.347,D
S2267,85.56,52.9,88.85,88.39,99.58,80.9045,B
S2268,45.37,94.95,57.91,65.74,98.22,78.0645,C
S2269,69.56,51.37,56.17,67.14,56.36,57.584,F
S2270,94.06,42.91,63.47,62.61,95.44,73.875,C
S2271,92.62,59.65,97.61,71.72,59.67,72.29,C
S2272,42.81,83.62,87.39,73.18,65.97,71.369,C
S2273,58.22,95.4,50.97,76.48,67.67,69.5275,D
S2274,66.6,78.24,70.05,98.38,64.34,71.3675,C
S2275,50.34,97.11,62.87,95.23,92.66,81.015,B
S2276,83.8,45.54,81.91,80.47,66.5,65.7335,D
S2277,51.07,43.65,72.96,51.95,90.84,62.439,D
S2278,60.8,76.25,98.22,80.61,99.72,81.5225,B
S2279,79.8,97.97,60.95,54.48,92.04,79.57,C
S2280,68.93,70.16,79.39,85.52,67.31,69.553,D
S2281,84.31,43.09,85.01,69.5,85.56,69.9985,D
S2282,97.67,53.27,91.28,91.88,76.7,75.133,C
S2283,46.99,54.69,70.35,97.13,89.33,70.0655,C
S2284,82.57,60.27,84.35,70.86,57.65,67.0365,D
S2285,53.82,42.62,65.16,73.03,81.91,61.923,D
S2286,64.87,94.29,71.77,79.51,88.68,83.1585,B
S2287,41.97,70.93,94.78,59.86,88.06,73.414,C
S2288,48.15,80.26,97.5,96.37,98.18,84.9385,B
S2289,59.19,44.03,85.94,71.65,52.92,60.438,D
S2290,60.52,43.25,68.72,58.34,67.29,57.0345,F
S2291,93.98,75.19,91,88.14,73.83,79.6475,C
S2292,84.51,93.24,51.29,60.96,65.49,71.588,C
S2293,98.33,71.71,55.14,57.18,65.49,68.083,D
S2294,75.94,92.67,83.07,78.14,58.81,72.521,C
S2295,54.5,88.66,64.56,83.57,90.65,79.656,C
S2296,59.66,44.55,97.57,78.48,95.4,71.75,C
S2297,59.19,52.12,71.8,82.83,54.12,62.1725,D
S2298,59.59,79.46,71.47,55.78,57.74,66.289,D
S2299,80.38,66.61,83.9,73.8,61.42,70.0005,C
S2300,71.85,57.44,88.38,67.85,75.45,68.5895,D
S2301,63.13,65.12,73.78,98.67,89.56,76.1265,C
S2302,48.95,66.71,60.7,52.48,53.57,55.749,F
S2303,41.33,94.63,88.67,64.91,81.84,75.4605,C
S2304,53.13,46.21,66.02,97.09,57.47,60.525,D
S2305,46.45,56.78,58.76,99.17,98.57,71.3695,C
S2306,87.13,72.25,81.58,91.25,94.94,83.231,B
S2307,46.75,81.9,54.52,53.8,97.48,74.5045,C
S2308,83.45,77.84,98.57,78.07,55.31,71.603,C
S2309,63.14,96.5,81.62,70.01,74.4,78.135,C
S2310,44.4,87.74,99.29,90.32,58.26,72.8885,C
S2311,88.76,73.42,66.94,52.75,80.02,73.116,C
S2312,74.78,52.88,98.56,59.86,61.64,67.849,D
S2313,54.15,67.05,57.28,74.46,88.53,72.197,C
S2314,93.68,81.6,52.03,57.88,82.2,75.0295,C
S2315,42.72,90.28,51.65,84.64,78.58,71.0435,C
S2316,52.11,97.58,73.24,91.04,91.26,82.1895,B
S2317,85.12,76.33,54.15,85.23,75.01,74.614,C
S2318,82.56,71.62,75.61,72.01,63.49,71.2185,C
S2319,57.36,41.06,66.38,93.92,81.04,63.645,D
S2320,43.72,44.33,66.78,56.88,97.85,63.0205,D
S2321,91.48,49.37,81.78,63.02,80.06,73.3965,C
S2322,58.82,43.29,58.15,74.48,81.48,61.565,D
S2323,51.74,64.05,88.33,53.07,96.74,74.547,C
S2324,70.96,60.21,79.1,54.78,75.76,69.9075,D
S2325,94.61,78.24,95.75,69.87,99.82,86.547,B
S2326,42.61,72.14,68.24,97.19,57.98,64.9505,D
S2327,85.95,75.76,99.14,95.42,76.85,79.8405,C
S2328,74.35,68.32,78.79,73.3,60.65,70.426,C
S2329,65.53,56.66,98.67,57.11,72.67,66.597,D
S2330,84.64,97.17,51.35,58.91,58.53,70.331,C
S2331,97.95,45.18,86.4,68.88,61.13,66.8595,D
S2332,53.75,96.33,90.83,60.5,60.54,73.9315,C
S2333,48.62,58.67,52.66,54.15,66,55.6795,F
S2334,94.77,70.76,78.95,83.69,56.73,71.341,C
S2335,80.14,46.53,90.1,79.07,90.47,73.7165,C
S2336,66.28,44.26,78.05,64.56,61.03,59.0395,F
S2337,74.4,65.77,53.19,88.95,70.83,69.62,D
S2338,84.74,84.5,84.67,88.8,50.8,70.6815,C
S2339,86.38,56.16,53.03,74.55,55.24,62.7235,D
S2340,95.19,73.74,90.87,54.83,94.81,84.32,B
S2341,65.61,56.72,52.15,95.92,91.86,73.499,C
S2342,57.6,63.32,56.87,83.43,92.05,72.0935,C
S2343,78.38,94.39,63.76,62.35,70.57,73.9895,C
S2344,64.94,91.35,81.67,80.52,57.08,72.14,C
S2345,75.68,70.96,98.82,70.25,55.39,72.407,C
S2346,65.2,54.29,55.89,81.77,80.28,68.402,D
S2347,49.18,51.59,57.14,73.69,91.41,65.9575,D
S2348,68.17,97.25,68.44,74.27,95.01,85.449,B
S2349,81.46,52.16,91.81,86.79,64.44,71.1565,C
S2350,87.96,88.49,73.36,80.69,66.05,78.7095,C
S2351,69.6,62.14,66.08,54,55.04,61.214,D
S2352,49.91,99.14,78.06,53.27,88.72,80.2135,B
S2353,64.88,62.09,63.03,65.25,63.78,64.828,D
S2354,87.18,61.09,70.06,71.51,74.05,68.6845,D
S2355,64.77,78.25,66.63,63.76,96.44,79.4055,C
S2356,81.79,97.69,90.21,82.57,87.61,86.4325,B
S2357,70.43,98.57,96.21,59.76,52.64,73.6065,C
S2358,54.47,82.43,87.98,85.21,50.41,69.579,D
S2359,87.77,85.28,71.95,88.66,89.37,84.28,B
S2360,45.05,73.8,75.22,56.22,77.63,69.8665,D
S2361,71.49,85.35,56.25,82.54,86.02,76.5635,C
S2362,52.53,91.59,87.34,98.07,57.84,72.902,C
S2363,44.02,69.17,79.82,59.64,93.6,70.0725,C
S2364,70.18,77.19,95.12,95.47,88.67,82.5555,B
S2365,69.97,72.24,60.03,80.3,94.54,77.572,C
S2366,82.41,73.75,87.99,79.55,67.05,73.5725,C
S2367,84.69,93.4,84.23,52.6,63.79,75.4,C
S2368,83.67,61.34,63.29,87.42,57.59,64.493,D
S2369,64.57,52.49,83.37,73.91,96.5,75.5195,C
S2370,77.9,67.38,96.22,86.06,58.84,69.526,D
S2371,74.62,52.49,95.92,90.46,55.97,68.0655,D
S2372,65.29,69.9,85.98,76.19,59.63,67.5685,D
S2373,75.83,94.21,52.4,63.18,88.57,75.886,C
S2374,96.83,77.05,93.61,57.08,94.48,86.1455,B
S2375,51.57,91.33,82.89,58.03,90.55,78.4095,C
S2376,94.35,49.97,65.52,93.35,78.16,72.251,C
S2377,43.21,94.05,59.36,56.18,99.69,78.083,C
S2378,58.5,76.11,55.81,69.23,53.44,62.404,D
S2379,57.29,41.91,52.51,66.71,93.36,65.2815,D
S2380,77.58,77.99,87.71,93.27,71.39,78.845,C
S2381,47.87,97.08,61.79,73.88,72.76,72.88,C
S2382,92.94,44.75,51.21,99.82,56.38,61.536,D
S2383,89.71,74.95,69.86,86.85,51.67,68.074,D
S2384,79.12,94.93,74.13,92.55,65.83,80.239,B
S2385,67.5,40.58,58.46,54.93,58.74,57.004,F
S2386,95.98,77.85,52.2,62.66,74.17,71.9965,C
S2387,89.84,68.49,59.46,56.77,57.37,62.9655,D
S2388,69.96,60.82,83.96,73.18,56.9,63.796,D
S2389,82.11,77.65,54.11,85.91,93.85,79.9465,C
S2390,74.02,43.16,77.75,58.45,96.06,69.0835,D
S2391,75.28,85.18,57.32,56.51,98.21,80.199,B
S2392,59.86,40.27,59.78,80.73,84.03,65.9105,D
S2393,67.73,58.42,69.65,61.52,88.55,72.749,C
S2394,44.69,70.24,55.04,73.97,91.79,67.4985,D
S2395,61.44,62.62,58.66,52.56,82.95,68.601,D
S2396,81.75,58.45,67.45,84.03,66.51,69.0485,D
S2397,97.19,89.85,66.48,77.07,57.82,72.486,C
S2398,97.78,96.09,87.46,82.37,61.86,80.6785,B
S2399,73.34,92.42,53.74,63.77,92.02,79.65,C
S2400,76.4,71.35,93.02,63.93,84.8,79.8685,C
S2401,51.14,93.05,90.81,90.07,72.79,76.219,C
S2402,81.72,95.25,88.3,85.93,51.47,73.9895,C
S2403,44.24,64.55,65.47,78.99,63.31,61.846,D
S2404,57.08,57.01,91.14,81.41,86.44,75.3985,C
S2405,80.1,45.9,59.14,54.7,75.62,65.372,D
S2406,58.62,68.75,56.22,92.81,71.78,66.3685,D
S2407,42.99,96.78,52.25,88.5,65.68,68.63,D
S2408,89.91,73.65,96.97,79.52,80.35,83.0415,B
S2409,58.62,80.05,65.4,95.93,98.32,81.3795,B
S2410,43.79,46.77,95.88,58.43,95.06,71.864,C
S2411,44.49,48.61,63.63,84.33,51.52,56.7245,F
S2412,55.11,67.87,95.38,98.15,74.05,72.646,C
S2413,50.68,97.08,95.2,65.5,66.47,76.443,C
S2414,86.46,61.65,96.18,50.76,75.53,70.7885,C
S2415,59.3,92.65,74.81,86.74,80.31,80.136,B
S2416,88.28,47.22,93.3,50.35,60,65.087,D
S2417,50.43,77.02,97.54,93.63,89.08,82.3175,B
S2418,69.57,76.04,66.23,52.82,73.75,71.587,C
S2419,81.28,91.59,70.94,82.64,99.6,84.1295,B
S2420,79.12,40.2,85.96,68.86,51.26,57.881,F
S2421,76.07,51.4,65.02,60.17,59.49,60.2975,D
S2422,95.49,53.18,87.69,94.91,84.48,80.002,B
S2423,53.71,97,53.69,87.31,84.76,78.589,C
S2424,69.62,49.22,76.17,67.02,79.11,69.4285,D
S2425,93.04,42.22,56.12,64.21,98.6,72.02,C
S2426,44.67,72.07,64.67,86.8,70.77,65.6145,D
S2427,43.35,71.71,62.93,91.83,70.85,64.4325,D
S2428,54,90.64,91.95,85.79,95.52,82.9025,B
S2429,77.98,96.93,59.68,82,76.92,79.5325,C
S2430,55.59,72.31,90.42,61.4,67.69,71.056,C
S2431,51.41,95.8,89.7,92.64,85.95,81.7705,B
S2432,67.53,83.51,74.94,87.48,80.98,79.67,C
S2433,76.82,55.87,61.69,75.86,65.32,63.901,D
S2434,54.91,95.71,61.34,75.58,64.9,69.933,D
S2435,58.04,80.05,73.25,78.46,69.78,71.031,C
S2436,76.81,64.85,50.44,91.41,53.58,62.725,D
S2437,96.74,80.81,76.57,87.11,97.13,88.619,B
S2438,80.48,64.08,97.64,92.81,59.15,72.104,C
S2439,86.97,46.85,57.74,75.36,59.69,60.247,D
S2440,62.01,83.14,78.67,81.23,82.35,78.93,C
S2441,56.34,89.45,98.09,92.73,86.21,85.658,B
S2442,67.26,83.73,93.03,61.62,86.84,80.43,B
S2443,88.43,53.75,92.52,72.2,68.75,69.675,D
S2444,67.38,97.4,91.09,81.03,93.67,85.5195,B
S2445,90.8,41.52,65.45,95.76,77.2,66.8435,D
S2446,99.33,59.96,94.53,50.79,71.93,71.112,C
S2447,44.32,55.61,97.07,60.63,90.52,72.905,C
S2448,42.72,42.89,74.79,61.72,62.18,53.655,F
S2449,48.98,64.34,67.73,66.33,93.01,70.5475,C
S2450,63.06,77.39,70.71,64.09,76.94,72.394,C
S2451,47.86,92.95,66.71,79.51,95,81.124,B
S2452,92.24,99.38,60.62,94.28,60.08,76.081,C
S2453,41.39,88.49,80.92,81.85,96.8,79.884,C
S2454,58.95,68.12,78.13,62.08,84.39,70.372,C
S2455,51.08,83.42,73.13,93.19,80.92,74.3615,C
S2456,95.89,90.62,54.79,81.6,71.1,76.267,C
S2457,80.17,67.92,89.84,60.95,97.82,80.8575,B
S2458,94.72,87.1,58.75,68.08,72.2,73.3485,C
S2459,98.34,68.96,55.73,89.5,74.93,73.8245,C
S2460,69.83,63.19,81.15,86.95,89.07,74.7955,C
S2461,54.06,71.57,69.93,78.83,64.24,68.481,D
S2462,51.62,80.55,52.99,57.24,64.57,63.839,D
S2463,53.38,83.61,67.78,90.16,88.76,79.0605,C
S2464,82.52,61.4,88.59,65.38,56.43,65.4635,D
S2465,42.43,74.28,80.76,88.58,91.15,77.3015,C
S2466,43.08,94.59,68.14,82.38,81.26,75.0215,C
S2467,76.49,98.58,59.59,63.21,76.95,75.353,C
S2468,78.52,53.63,81.59,60.62,61.46,65.729,D
S2469,79.92,51.57,94.38,56.55,89.32,75.2985,C
S2470,62.31,80.6,82.31,62.1,90.25,80.108,B
S2471,88.36,64.88,90.65,57.89,74.15,75.0105,C
S2472,72.02,41.45,76.08,80.85,69.46,62.2255,D
S2473,46.33,60.81,85.9,79.94,62.31,63.339,D
S2474,87.83,88.4,94.81,79.31,87.71,86,B
S2475,97.18,87.85,88.66,82.09,81.97,83.2735,B
S2476,43.6,69.68,95.49,90.74,60.33,69.3965,D
S2477,63.48,68.35,71.56,95.68,89.72,76.4625,C
S2478,69.25,74.77,95.21,61.52,94.11,82.4665,B
S2479,48.79,53.16,81.08,79.39,52.96,59.5425,F
S2480,92.06,71.56,93.5,53.92,88.62,80.317,B
S2481,57.05,40.66,51.97,56.01,92.64,60.266,D
S2482,86.98,68.53,82.89,82.72,99.58,81.504,B
S2483,80.26,60.16,92.4,74.33,61.88,71.186,C
S2484,75.88,80.49,58.71,87.92,68.55,74.623,C
S2485,51.53,78.3,83.09,71.28,98.31,78.464,C
S2486,53.24,62.85,91.25,56.38,54.7,63.484,D
S2487,42.84,40.44,64.4,93.6,76.19,61.553,D
S2488,54.44,55.14,70.26,54.14,75.34,65.301,D
S2489,60.73,78,78.48,59.45,80.33,71.6155,C
S2490,89.99,44.34,75.96,63.85,66.54,65.0495,D
S2491,61.98,46.46,51.96,99.76,96.3,69.617,D
S2492,85.28,78.82,54.93,70.84,63.5,69.5805,D
S2493,66.37,85.35,55.02,75.09,82.48,73.144,C
S2494,87.09,59.29,63.11,88.48,74.8,71.1305,C
S2495,98.58,69.38,62.29,81.82,63.33,71.7815,C
S2496,54.39,96.74,87.11,92.07,59.44,72.854,C
S2497,91.74,96.73,78.64,74.32,97.83,90.2355,A
S2498,77.31,58.45,88.2,98.61,78.06,76.253,C
S2499,89.04,88.6,53.49,89.84,80.21,80.9765,B
S2500,79.1,75.64,74.26,70.07,89.14,77.793,C
S2501,65.44,98.53,66.19,69.06,54.06,67.811,D
S2502,53.68,68.66,92.5,96.47,85.69,76.751,C
S2503,44.2,86.48,85.39,84.22,58.26,67.6485,D
S2504,72.13,86.09,93.46,81.07,87.02,83.809,B
S2505,99.42,69.85,52.32,87.89,57.07,66.3685,D
S2506,84.28,87.74,86.04,78.04,91.62,84.643,B
S2507,59.64,55.66,77,57.96,84.05,65.837,D
S2508,89.63,47.34,91.25,65.96,69.29,66.365,D
S2509,86.14,65.51,75.36,77.9,67.94,73.5795,C
S2510,56.9,96.62,77.01,50.91,57.45,71.5475,C
S2511,40.86,70.04,52.59,71.87,95.2,70.0545,C
S2512,47.09,78.12,83.43,87.79,55.93,65.861,D
S2513,92.64,77.45,63.66,58.21,73.6,75.2635,C
S2514,90.19,47.95,50.98,53.23,61.83,61.65,D
S2515,57.71,63.42,53.32,91.8,99.82,75.9105,C
S2516,57.11,82.42,97.86,80.86,79.29,78.4435,C
S2517,87.57,98.32,67.3,58.83,57.48,71.3125,C
S2518,96.26,50.08,93.4,90.32,83.38,75.455,C
S2519,86.75,64.63,97.98,82.91,99.58,86.517,B
S2520,76.33,45.71,97.16,66.71,80.25,72.577,C
S2521,54.56,54.54,94.09,68.81,72.87,66.8445,D
S2522,71.54,62.61,94.74,57.79,64.66,67.4115,D
S2523,54.01,72.44,64.45,91.76,54.61,64.658,D
S2524,88.48,53.83,57.57,75.45,61.41,65.368,D
S2525,63.22,53.65,81.96,77.85,77.68,69.9385,D
S2526,90.02,86.67,74.41,94.17,87.69,85.136,B
S2527,62.9,97.76,54.94,50.79,93.9,76.525,C
S2528,89.45,59.42,83.88,53.35,89.69,74.4115,C
S2529,60,81.28,78.14,58.08,56.27,67.35,D
S2530,66.41,55.48,93.15,51.5,88.67,73.57,C
S2531,76.93,95.68,80.46,82.91,79.08,80.1235,B
S2532,44.22,80.37,78.7,81.69,73.46,69.6725,D
S2533,96.89,88.16,72.04,60.54,78.64,80.4255,B
S2534,74.42,42.96,73.14,57.47,50.4,55.686,F
S2535,70.47,75.91,97.72,57.28,53.39,68.766,D
S2536,90.36,71.66,56.92,97.66,76.29,75.735,C
S2537,91.95,57.58,72.31,84.68,58.68,68.986,D
S2538,71.34,55.75,82.79,79.27,77.28,72.198,C
S2539,95.64,74.8,71.65,66.12,67.71,72.1185,C
S2540,43.88,82.39,64.16,71.65,95.37,75.2845,C
S2541,46.79,41.99,64.37,54.47,97.48,62.4825,D
S2542,75.81,74.04,61.68,99.91,98.99,83.0315,B
S2543,61.24,50.23,67.2,87.75,94.95,73.3085,C
S2544,67.85,48.42,93.58,81.07,99.29,75.7135,C
S2545,59.68,77.39,75.26,79.39,85.31,73.9255,C
S2546,64.28,58.65,62.01,75.22,98.03,70.887,C
S2547,89.36,66.45,69.23,62.87,82.09,74.19,C
S2548,75.61,61.6,55.29,61.32,90.46,68.76,D
S2549,99.84,78.9,95.2,77.48,56.6,77.114,C
S2550,87.21,68.21,70.41,53.51,84.13,74.6755,C
S2551,56.42,97.81,99.02,53.72,96.56,85.1785,B
S2552,55.86,61.14,67.38,78.04,77,69.06,D
S2553,60.15,84.42,91.82,95.99,59.34,73.1915,C
S2554,90.6,55.44,62.82,95.71,76.34,73.856,C
S2555,41.64,70.53,53.81,50.54,85.35,62.794,D
S2556,53.81,73.15,51.59,55.37,88.49,66.7465,D
S2557,94.3,59.75,80.31,79.15,76.19,73.961,C
S2558,78.39,68.31,65.58,92.42,60.87,69.146,D
S2559,53.61,56.76,72.18,97.72,96.33,71.8895,C
S2560,53.15,40.36,90.93,93.03,88.68,70.444,C
S2561,91.76,52.94,62.41,83.88,63.53,65.3425,D
