Student_ID,Attendance (%),Study_Hours_per_Week,Sleep_Hours_per_Night,Extracurricular_Activities
S1747,99.67,18.1,6.6,Yes
S1748,54.33,8.6,5.8,Yes
S1749,93.11,10.8,5.5,No
S1750,69.53,23.2,7.3,No
S1751,76.2,29.4,7.7,No
S1752,95.74,22.6,5.4,Yes
S1753,98.67,6.4,5.6,Yes
S1754,63.11,8.6,6.3,No
S1755,60.64,16.1,6.3,Yes
S1756,54.03,23.3,8.2,Yes
S1757,78.09,9.1,6.2,Yes
S1758,50.68,23.8,8.9,Yes
S1759,70.59,18.9,5.6,Yes
S1760,53.67,24.4,7.5,No
S1761,70.26,18.9,7.8,No
S1762,52,20.1,7.2,Yes
S1763,91.76,11.2,5.8,Yes
S1764,60.49,23,5.3,No
S1765,66.42,26.1,7,No
S1766,93.5,26.8,7.3,No
S1767,87.31,5.7,5.3,Yes
S1768,60.95,20.6,5.7,Yes
S1769,53.59,29.7,8.3,No
S1770,85.78,19.7,8.1,No
S1771,69.54,9.3,4.9,Yes
S1772,88.3,26.9,8.7,No
S1773,72.26,11.6,7.1,No
S1774,67.3,6.1,6.5,No
S1775,72.56,15.8,5,Yes
S1776,87.43,7.5,7.7,No
S1777,95.11,7.9,8.6,No
S1778,52.49,16.6,4.3,Yes
S1779,76.21,20.3,6.6,Yes
S1780,51.64,27.6,8.4,Yes
S1781,73.42,22.6,8.8,Yes
S1782,94.26,26.1,4.4,Yes
S1783,68.08,15.3,8,No
S1784,96.62,13,5.4,No
S1785,81.53,19.8,6.7,Yes
S1786,96.71,22.4,7.9,Yes
S1787,87.86,19.2,6.7,No
S1788,55.17,11.6,4.6,No
S1789,61.56,14.2,7,Yes
S1790,69.71,16.2,4.6,Yes
S1791,58.51,5.4,5.7,No
S1792,74.75,27,6.8,Yes
S1793,73.57,17.8,9,Yes
S1794,97.81,23.8,7.6,Yes
S1795,71.69,9.3,5.5,Yes
S1796,89.28,18.9,8.4,No
S1797,97.1,28.2,5.1,No
S1798,93.85,10.4,5.9,Yes
S1799,60.43,13.6,7.2,Yes
S1800,74.8,14.7,6.1,Yes
S1801,67.39,14.6,7.6,No
S1802,69.99,20,7.3,No
S1803,68.04,14.8,7.3,Yes
S1804,91.32,21.9,6.1,Yes
S1805,72.61,17.1,4.3,Yes
S1806,76.18,8.9,8.4,Yes
S1807,99.12,28.7,4.4,No
S1808,53,11,6.3,No
S1809,74.4,19.1,5.5,Yes
S1810,88.7,6.5,5.5,Yes
S1811,57.56,28,5.1,No
S1812,80.58,28.2,5.4,Yes
S1813,61.97,14.1,8.8,Yes
S1814,93.37,8,8.9,No
S1815,66.35,24.2,6.9,No
S1816,66.45,11.6,6.6,No
S1817,79.91,22.5,4.2,No
S1818,59.18,27.9,8,Yes
S1819,64.24,19.8,4.9,No
S1820,70.83,26.5,4.7,Yes
S1821,67.68,10.6,6.1,No
S1822,76.24,27.8,5.7,Yes
S1823,79.98,10.7,4.5,Yes
S1824,78.33,10.6,4.7,No
S1825,82.71,27,9,No
S1826,65.39,18.9,7.7,No
S1827,56.32,25,7,No
S1828,88.04,25.1,5.5,No
S1829,92.54,21.2,6.1,Yes
S1830,62.85,9.7,7.1,No
S1831,70.35,22.3,7.9,No
S1832,74.93,6.6,8.7,Yes
S1833,76.67,10,4.6,No
S1834,82.97,21.1,5,Yes
S1835,52.08,27.7,6.8,Yes
S1836,86.07,24.3,8.7,No
S1837,53.1,13.3,6.3,Yes
S1838,73.41,25.6,7.2,No
S1839,91.38,29.2,5.5,No
S1840,72.56,13.3,8.1,Yes
S1841,57.45,9.7,7,No
S1842,99.25,9.9,5.9,No
S1843,94.46,15,6.7,No
S1844,88.57,6.3,7.5,Yes
S1845,70.58,17.2,5.1,No
S1846,59.19,23.3,5.7,Yes
S1847,97.07,18.3,5.3,No
S1848,76.62,29.3,8.8,Yes
S1849,92.62,16.5,4.2,No
S1850,67.1,5.3,4.3,Yes
S1851,66.76,16.8,5.8,Yes
S1852,99.28,28.2,6.7,No
S1853,76.09,7.4,5.6,Yes
S1854,57.03,10.6,8.3,No
S1855,60.98,22.9,4.8,No
S1856,74.1,12.4,5.8,No
S1857,52.12,24.1,6.4,No
S1858,73.13,15.5,5,No
S1859,70.95,24.9,5.5,No
S1860,88.97,18.8,8.7,Yes
S1861,67.75,7.1,6.6,No
S1862,99.13,14.7,8.3,No
S1863,59.04,13.3,5.3,No
S1864,79.55,25.3,7.1,Yes
S1865,54.48,20.6,7.8,No
S1866,86.69,24.4,6.1,Yes
S1867,99.74,14.3,7.1,No
S1868,90.96,22.3,8.3,Yes
S1869,77.79,6.6,4.7,No
S1870,74.24,5.9,5.8,Yes
S1871,91.75,12.2,8.1,Yes
S1872,96.8,24.3,5.2,Yes
S1873,99.46,18.4,6.8,Yes
S1874,69.83,15.2,6.2,No
S1875,99.55,27.4,7.3,Yes
S1876,57.8,17.4,7.3,No
S1877,62.68,20.3,6.9,No
S1878,54.45,29.6,8.7,Yes
S1879,63.59,18.1,4.9,No
S1880,88.4,24.6,8.2,Yes
S1881,92.65,15.3,6.4,Yes
S1882,88.94,5.9,7.3,No
S1883,81.55,25.9,5.4,No
S1884,75.7,28.6,4.5,No
S1885,85.44,15.9,7.9,Yes
S1886,69.54,17.6,5.3,No
S1887,92.07,15.6,6,Yes
S1888,83.86,29.9,4.2,Yes
S1889,84.89,27.6,7.3,Yes
S1890,76.8,6,7.4,No
S1891,94.26,24.5,8.5,No
S1892,62.6,20,8.5,No
S1893,69.06,5.6,7.5,No
S1894,88.88,16.1,5.6,No
S1895,74.64,8.7,5.9,Yes
S1896,94.46,26.8,5.9,Yes
S1897,67.32,5.3,4.6,No
S1898,68.47,26.8,8.7,Yes
S1899,94.44,28.5,8.1,Yes
S1900,73.22,6.8,4.7,Yes
S1901,75.81,23,8.7,No
S1902,66.64,18.7,8.2,No
S1903,63.83,28.9,8.6,Yes
S1904,82.8,25,5.4,Yes
S1905,55.99,22.4,5.7,Yes
S1906,93.96,28.1,6.3,Yes
S1907,88.96,9,5.1,No
S1908,59.54,14.4,6.3,No
S1909,84.7,26.1,4,Yes
S1910,80.13,7.5,8.4,Yes
S1911,59.23,28.4,4.8,No
S1912,63.66,23.6,6.5,No
S1913,70.45,16,8.6,No
S1914,84.96,13.5,8.1,Yes
S1915,81.94,8.7,7.9,Yes
S1916,76.61,7.3,7,No
S1917,88.42,15.6,6.2,No
S1918,87.9,26.1,6.2,No
S1919,80.89,18.3,4.4,Yes
S1920,89.35,16.3,4.3,Yes
S1921,66.71,13,8.2,No
S1922,94.06,8.9,6,No
S1923,80.75,29.8,4.3,Yes
S1924,91.12,5.6,7.3,Yes
S1925,77.31,12.8,7.4,Yes
S1926,60.92,24.2,5.1,Yes
S1927,77.12,18,6.1,Yes
S1928,68.56,12.8,6.9,No
S1929,84.87,29.8,7,Yes
S1930,73.79,20.5,6.6,No
S1931,91.81,12.4,5.8,Yes
S1932,83.9,26.2,4.3,No
S1933,84.23,8.8,4.1,No
S1934,60.86,16.6,6.3,No
S1935,99.21,26,5,Yes
S1936,92.08,29.6,8.7,No
S1937,89.45,14.6,7.2,No
S1938,66.51,8.5,6.9,No
S1939,76.78,19.2,6,Yes
S1940,56.86,28.6,5.6,Yes
S1941,76.92,21.6,4.9,Yes
S1942,57.29,20.1,4.3,No
S1943,77.65,12.7,7.2,No
S1944,82.44,20.2,7.9,No
S1945,69.51,27.1,8.3,No
S1946,74.93,14.4,7.6,Yes
S1947,93.78,11.1,8.5,No
S1948,55.43,17,8.9,No
S1949,89.59,14.4,8.8,No
S1950,58.54,16.7,7,No
S1951,51.84,7.4,5.1,Yes
S1952,59.28,13.4,4.5,Yes
S1953,88.25,25.7,9,Yes
S1954,70.26,15,5.5,Yes
S1955,93.63,29.2,4.2,No
S1956,76.24,22.7,6,Yes
S1957,51.11,14.2,7.7,Yes
S1958,85.84,11.3,8.5,Yes
S1959,55.51,22.1,6.4,Yes
S1960,89.47,12.6,5.5,No
S1961,58.41,28.2,7.9,No
S1962,67.27,7.9,6.5,No
S1963,88.06,5.7,4.4,No
S1964,97.71,10.5,8.4,Yes
S1965,68.57,20.2,7.3,Yes
S1966,91.47,25.9,4.2,No
S1967,59.54,9.3,4,Yes
S1968,90.36,19.6,4.4,No
S1969,82.87,8.6,8.1,Yes
S1970,59.64,19.1,6.4,No
S1971,65.13,5.5,5.7,No
S1972,56.59,18.9,5.2,No
S1973,69.15,18,6.5,Yes
S1974,60.18,6.1,4.4,No
S1975,82.2,22.2,7.1,No
S1976,99.73,19.3,5.9,No
S1977,50.6,20.6,8.3,No
S1978,77.05,18.2,7.8,Yes
S1979,78.68,23,4.1,Yes
S1980,95.71,18.1,4.8,Yes
S1981,75.3,28.1,6.4,No
S1982,77.19,28.6,7.3,No
S1983,73.58,23.2,7.6,No
S1984,63.45,27.8,8.1,No
S1985,52.8,28.1,4.2,No
S1986,70.43,11.5,4.1,Yes
S1987,52.63,29.8,7,Yes
S1988,77.52,11.7,7.6,No
S1989,65.36,5.5,7.9,No
S1990,76.68,29.1,4.8,No
S1991,56.71,10.6,8.8,No
S1992,96.63,19.6,5.1,No
S1993,94.73,29.3,5.3,No
S1994,59.5,6.2,4.8,Yes
S1995,67.17,11.7,4.2,No
S1996,80.67,20.2,8,Yes
S1997,54.78,24.1,4,Yes
S1998,67.73,25.2,6.3,No
S1999,62.56,27.1,4.5,Yes
S2000,95.78,9.2,4.2,No
S2001,92.63,14.3,8.7,No
S2002,78.99,22.9,8.1,No
S2003,76.02,22.9,6,No
S2004,96.54,12.7,6.3,Yes
S2005,96.62,12.6,8.3,No
S2006,98.47,13,8,Yes
S2007,56.27,27.3,7.5,Yes
S2008,58.03,27.7,6.7,No
S2009,83.84,5.4,7,No
S2010,77.07,13.1,6,No
S2011,50.92,14.8,6.6,Yes
S2012,53.1,29.6,6.7,No
S2013,94.4,28.6,8.3,No
S2014,93.44,20.7,5.1,No
S2015,67.86,6.1,5.2,Yes
S2016,94.55,9.8,5.1,Yes
S2017,79.68,15.9,6.9,No
S2018,90.3,29,7.5,No
S2019,71.37,7.4,5.2,No
S2020,55.67,24.8,7.4,No
S2021,71.69,9.8,7.1,Yes
S2022,72.86,17.7,5.6,Yes
S2023,77.55,24.2,5.1,No
S2024,55.28,22.3,8.4,Yes
S2025,99.57,24.4,6.8,Yes
S2026,62.21,25.3,7.5,No
S2027,59.93,12.6,8.6,Yes
S2028,76.34,14.1,5,No
S2029,76.86,25.4,5.8,Yes
S2030,71.99,6,6.2,No
S2031,88.59,17.9,5.2,Yes
S2032,75.83,28,8.2,No
S2033,80.48,27.1,4.4,Yes
S2034,86.19,25.1,5.2,Yes
S2035,51.25,5.5,5,Yes
S2036,78.53,27.2,8.8,No
S2037,94.21,27.8,7.1,Yes
S2038,50.87,21.6,7.6,Yes
S2039,70.26,12.5,4.5,Yes
S2040,96.31,17.2,5,Yes
S2041,67.66,24.1,8,Yes
S2042,72.94,25.3,6.8,Yes
S2043,99.08,13.6,4.2,Yes
S2044,59.97,13.2,6.8,No
S2045,53.26,23.4,6.4,Yes
S2046,92.97,22.2,4.8,Yes
S2047,93.42,17.8,7,No
S2048,73.6,15.5,4.9,No
S2049,75.71,21.4,8.1,No
S2050,91.79,5.8,7.1,No
S2051,86.93,6.9,8.4,No
S2052,63.26,19.3,6.1,No
S2053,50.84,10.3,6.6,No
S2054,73.99,24.4,7.8,No
S2055,92.95,24.3,6.7,Yes
S2056,94.79,22.7,6.9,No
S2057,97.81,27.6,6.8,Yes
S2058,93.98,8.5,6.5,No
S2059,79,11.5,8,Yes
S2060,72.23,11.3,6.4,Yes
S2061,88.74,24.6,8.5,No
S2062,86.99,18,8,No
S2063,76.91,11.3,7.5,No
S2064,54.37,8.4,8.5,No
S2065,96.3,27.3,6.7,No
S2066,72.78,22.3,8.1,No
S2067,68.17,18.2,5.2,Yes
S2068,81.48,29.1,4.4,Yes
S2069,83.69,26.2,7.4,Yes
S2070,60.53,9.5,5.5,Yes
S2071,91.85,17.7,7.2,No
S2072,64.5,17.2,4.4,No
S2073,59.33,26.1,8.8,No
S2074,70.32,8.7,6.6,Yes
S2075,86.53,16.3,4,No
S2076,98.27,20.9,6.4,No
S2077,90.46,28.6,7.9,Yes
S2078,97.02,27.5,8.3,No
S2079,57.03,18.3,6.3,No
S2080,53.56,20.2,4.6,No
S2081,77.89,26.3,8.5,Yes
S2082,64.51,23.6,8.9,Yes
S2083,91.4,27,4.3,No
S2084,83.6,27.4,4.4,Yes
S2085,98.54,25.8,6.8,No
S2086,62.74,5.2,6.7,Yes
S2087,74.29,12.8,6.9,Yes
S2088,75.06,15.1,5.6,Yes
S2089,61.96,21.9,4.3,No
S2090,79.5,12.7,6.9,Yes
S2091,72.16,13.1,4.8,Yes
S2092,72.34,15,5.7,Yes
S2093,68.14,28.9,6.9,Yes
S2094,50.85,15.9,5,Yes
S2095,76.1,8.5,6.7,No
S2096,66.76,5.2,7.6,No
S2097,50.07,10.9,4.3,Yes
S2098,65.4,28.5,7.1,No
S2099,63.93,28.9,6.5,Yes
S2100,69.67,18.2,4.5,No
S2101,56.59,21.2,7.5,Yes
S2102,75.38,24.9,5.6,Yes
S2103,84.62,6.4,4.9,Yes
S2104,81.51,14.4,5.4,Yes
S2105,90.19,21.1,6.7,Yes
S2106,72.6,27.5,6.9,Yes
S2107,75.95,23.2,4.8,Yes
S2108,90.52,13.8,8.7,No
S2109,71.39,27.7,5.6,No
S2110,85.08,21.6,5.3,No
S2111,71.73,25.8,4.9,Yes
S2112,70.89,14.6,4.6,Yes
S2113,88.01,5.1,8.9,No
S2114,58.74,9.2,7.4,No
S2115,66.93,28.2,7.9,No
S2116,61.21,5.8,6,Yes
S2117,67.96,19.9,6.1,No
S2118,61.52,15.2,8.9,Yes
S2119,78.97,15.7,5,No
S2120,89.91,15,5.6,No
S2121,89.33,6.7,5,No
S2122,68.23,8.1,5.4,No
S2123,99.44,6.6,7.3,Yes
S2124,79.69,6.3,5.5,No
S2125,69.97,7.1,8.4,Yes
S2126,91.78,22.4,4.2,Yes
S2127,86.49,7.9,5.8,Yes
S2128,87.46,11.5,8.3,Yes
S2129,59.81,21.4,7.1,Yes
S2130,73.42,7.8,7.9,No
S2131,93.09,27.8,5.6,No
S2132,75.2,16.9,5.8,No
S2133,84.17,29.1,8.4,No
S2134,79.4,9.8,7.7,Yes
S2135,92.12,5.8,5.9,No
S2136,64.23,19.8,5.1,No
S2137,78.77,13.2,4.5,No
S2138,56.16,19.3,8.3,Yes
S2139,84.51,16.8,7.5,No
S2140,86.6,16.4,7,Yes
S2141,52.14,26.3,7.9,Yes
S2142,83.79,9.8,8.6,No
S2143,70.73,17.5,7.8,Yes
S2144,56.2,15.4,6.1,No
S2145,71,21.8,4.9,No
S2146,59.71,6.3,7.6,No
S2147,70.78,18.2,5.2,Yes
S2148,69.22,17,7.9,No
S2149,86.92,29.3,5.7,No
S2150,88.71,23.9,4.8,No
S2151,80.35,8.9,5.3,No
S2152,51.13,17.7,5.3,No
S2153,96.55,24.6,5.9,No
S2154,84.31,18.1,5.3,Yes
S2155,51.71,13.9,5.1,Yes
S2156,90.94,14.4,6,Yes
S2157,60.01,14.2,8.3,No
S2158,78.96,5.5,4.4,Yes
S2159,73.33,23.3,5.5,No
S2160,70.99,20.3,6.8,Yes
S2161,94.49,11.7,8.4,Yes
S2162,71.87,20.8,5.4,Yes
S2163,53.77,12.7,5.7,No
S2164,97.33,11.1,8,Yes
S2165,96.03,23.5,5.9,Yes
S2166,84.22,25.2,8.3,No
S2167,73.39,20.6,6.3,No
S2168,54.64,24.6,6.8,Yes
S2169,89.54,14.1,6.8,No
S2170,53.77,6.8,4.6,Yes
S2171,53.43,20.1,5.8,Yes
S2172,76.87,11.4,5.2,No
S2173,58.01,24.4,7.4,Yes
S2174,50.39,14,8.7,No
S2175,71.16,21.8,5.1,Yes
S2176,56.86,18.8,4.5,Yes
S2177,58.03,25.4,6.5,No
S2178,53.85,25.8,6,Yes
S2179,60.25,6.7,4.2,Yes
S2180,85.77,12.4,8.6,No
S2181,90.45,26.8,8.7,No
S2182,72.63,15.1,8.3,No
S2183,75.33,17.9,5.4,Yes
S2184,51.63,9.6,4.6,No
S2185,53.47,18.8,7,No
S2186,62.88,11.6,5.4,No
S2187,77.19,25.7,5,No
S2188,86.98,10,7.2,No
S2189,80.25,14,7.8,Yes
S2190,69.61,7.4,6.6,Yes
S2191,55.92,19.7,5.6,Yes
S2192,89.04,28.5,6.6,Yes
S2193,68.19,9.3,7,Yes
S2194,86.8,5.5,4.3,Yes
S2195,75.65,15.6,6.2,No
S2196,86.93,23.7,7,Yes
S2197,95.36,29.4,4.6,No
S2198,96.05,6.3,6.2,No
S2199,76.76,24.6,5.7,No
S2200,75.58,14.2,8.3,No
S2201,63.28,8.8,6.4,Yes
S2202,96.79,9.8,6.1,Yes
S2203,72.9,28.1,5.2,Yes
S2204,56.38,25.2,8.8,Yes
S2205,71.64,12.8,8.8,No
S2206,56.35,28.5,5.8,Yes
S2207,75.13,7.6,8.6,No
S2208,78.06,13.1,7.1,Yes
S2209,66.89,21.3,7.9,No
S2210,53.58,30,4.4,Yes
S2211,97.18,16.6,4.1,Yes
S2212,88.67,25.3,6.6,No
S2213,91.94,27.9,4.4,Yes
S2214,68.34,5.2,8.5,Yes
S2215,88.04,12.2,8.1,Yes
S2216,74.27,7.5,7.6,No
S2217,60.05,24.4,4.2,Yes
S2218,56.22,19.2,6.3,No
S2219,67.25,7.4,4.4,No
S2220,56.88,15.5,8.6,Yes
S2221,99.91,17.8,7.1,Yes
S2222,52.46,22.4,4.8,No
S2223,72.06,24.5,6.8,Yes
S2224,72.6,7.2,4.6,No
S2225,65.03,17.2,4.7,No
S2226,78.57,9,4.4,No
S2227,57.5,23.8,8.4,No
S2228,89.2,21.4,6.7,Yes
S2229,66.62,23.1,5.6,Yes
S2230,79.57,6.9,4,Yes
S2231,85.78,17.8,6.4,Yes
S2232,94.45,26,6.6,No
S2233,91.79,22.8,5.7,Yes
S2234,80.42,26.5,6.4,No
S2235,69.42,10.2,4.5,Yes
S2236,75.16,12.2,8.6,Yes
S2237,88.44,16,5.3,No
S2238,93.88,18.1,8.7,Yes
S2239,55.19,11.3,6.5,Yes
S2240,69.24,14.5,8.3,No
S2241,88.81,22.2,6.9,No
S2242,71.58,21.1,8.2,No
S2243,66.61,7.8,4.1,No
S2244,70.57,29.6,4.9,No
S2245,80.14,19.1,5.8,No
S2246,99.99,17.1,5.5,No
S2247,74.65,29.2,8.7,No
S2248,60.42,8.5,6,No
S2249,58.14,18.6,8.9,No
S2250,52.12,25.1,7.3,No
S2251,77.94,15,8.2,Yes
S2252,77.23,23.4,6,Yes
S2253,60.26,27.5,5,No
S2254,84.77,11.5,4.3,Yes
S2255,87.06,11,7.3,No
S2256,62.95,14,8.9,No
S2257,67.2,15.5,4.6,No
S2258,99.52,7.8,7.9,Yes
S2259,68.71,10.8,5.8,No
S2260,88.04,26.8,9,Yes
S2261,72.64,19.2,8.4,No
S2262,89.67,11.7,5.2,Yes
S2263,88.45,28.6,7.8,Yes
S2264,83.39,24.4,7.7,No
S2265,92.74,14.1,7.8,Yes
S2266,96.96,24.1,4.4,Yes
S2267,79,19.9,8,No
S2268,61.87,22.1,5.3,Yes
S2269,69.93,13,7,Yes
S2270,87.92,10.2,4.6,Yes
S2271,82.54,11.3,6.8,Yes
S2272,58.89,7.1,8.5,No
S2273,52.56,16.8,4.9,Yes
S2274,84.15,15.2,8.3,Yes
S2275,62.55,5.1,6.2,No
S2276,74.98,26.4,5.6,Yes
S2277,87.34,22,4.3,Yes
S2278,78.13,16.2,6.6,Yes
S2279,54.17,29.2,5,No
S2280,59.28,28.5,8.7,No
S2281,60.97,7.4,5.2,Yes
S2282,62.89,20.4,6.9,No
S2283,78.27,25.4,6.8,No
S2284,75.2,9.3,5.7,Yes
S2285,60.16,8.2,8.3,Yes
S2286,53.38,11.5,4.9,No
S2287,58.57,12,8.1,Yes
S2288,99.22,29.1,5,No
S2289,73.43,24.5,4.2,No
S2290,93.37,6.5,8.7,No
S2291,92.44,24.7,7.2,Yes
S2292,75.58,9.2,7.2,No
S2293,85.33,13.9,5.3,Yes
S2294,59.64,13,4.7,Yes
S2295,84.42,11.8,7.5,No
S2296,63.62,12.7,6.6,Yes
S2297,91.6,23.9,5.6,Yes
S2298,54.19,11.7,5.6,No
S2299,88.66,25,8.4,No
S2300,55,7.3,8.4,Yes
S2301,94.06,19.9,5.4,Yes
S2302,65.21,26.6,8,No
S2303,82.72,7,5.1,No
S2304,74.38,20.9,8,Yes
S2305,68.32,17.8,4.6,Yes
S2306,82.27,13.3,7.8,No
S2307,97.38,7.5,6.8,No
S2308,52.06,21.9,4.6,No
S2309,95.94,12.7,7.1,Yes
S2310,80.45,13.5,5,Yes
S2311,90.37,22.9,5,Yes
S2312,69.19,28.6,6.2,Yes
S2313,73.59,13.3,8.8,Yes
S2314,93.44,23.7,8.5,Yes
S2315,70.74,28.9,8.1,No
S2316,76.73,7.4,8.3,No
S2317,51.01,18.2,6.5,Yes
S2318,57.93,5.3,5.9,Yes
S2319,82.08,25.6,8.4,No
S2320,85.85,12.2,4.4,No
S2321,79.13,13.3,9,No
S2322,57.17,22.2,6.8,Yes
S2323,72.27,24.7,6.7,Yes
S2324,67.75,15,5.5,Yes
S2325,74.78,21.6,4.9,No
S2326,93.52,28.9,7.4,No
S2327,88.79,27.2,5.8,No
S2328,54.2,22.5,5.5,Yes
S2329,94.52,28.6,4.8,No
S2330,73.59,26.9,6.7,Yes
S2331,87.19,23.2,6.9,Yes
S2332,57,27.9,6.2,Yes
S2333,83.54,25.4,4.1,No
S2334,61.82,17.6,6.5,Yes
S2335,71.92,17.6,5.4,Yes
S2336,50.84,5.2,4.7,Yes
S2337,57.58,5.8,6.9,Yes
S2338,54.6,23.7,7.4,No
S2339,61.99,18.9,6.6,Yes
S2340,55,24,7.1,Yes
S2341,84.6,28.7,7,Yes
S2342,51.45,16.3,4.6,No
S2343,80.89,7.2,5.1,No
S2344,57.04,20.7,4,Yes
S2345,97.26,7.5,8.9,No
S2346,96.65,20.5,5.1,Yes
S2347,61.28,18.2,8.1,No
S2348,80.72,22.8,7.9,No
S2349,51.4,13.8,7.5,No
S2350,96.59,8.6,6.2,Yes
S2351,76.15,10.9,6.9,No
S2352,52.16,22.1,4.9,No
S2353,67.12,17,4.5,Yes
S2354,53.84,18.5,5.8,Yes
S2355,69.65,13.1,8.1,No
S2356,83.5,25.9,6.8,No
S2357,73.49,30,7.8,No
S2358,69.19,12.8,8.5,No
S2359,55.96,23,6.8,No
S2360,62.25,9.3,5.8,Yes
S2361,55.01,23.6,8.3,No
S2362,90.37,15.8,5.1,Yes
S2363,56.76,20.1,4.1,No
S2364,79.77,10.9,4.3,No
S2365,67.14,26.3,6.9,No
S2366,61.3,9.3,8.5,Yes
S2367,81.97,28.2,6.8,Yes
S2368,72.85,6.5,6,No
S2369,70.01,12.2,6.9,No
S2370,79.64,19.1,7.4,Yes
S2371,74.56,26.5,7.8,Yes
S2372,65.17,19.4,5.7,Yes
S2373,77.95,10.4,5.9,No
S2374,83.47,26.5,4.1,Yes
S2375,51.33,19.9,7.2,No
S2376,73.29,10.8,7.9,Yes
S2377,52.88,19,6.6,Yes
S2378,59.32,21.9,5.9,Yes
S2379,78.03,22,5.7,No
S2380,93.31,23.1,7.2,Yes
S2381,94.14,27.4,5.7,No
S2382,53.5,25.6,7,No
S2383,70.96,20.2,8.6,No
S2384,79.15,5.8,5.7,No
S2385,57.35,23.7,4.3,Yes
S2386,88.27,29.4,8.4,Yes
S2387,87.21,12.6,5.4,Yes
S2388,95.17,20.2,8.9,Yes
S2389,50.42,24.2,8.2,No
S2390,60.83,21,6.1,No
S2391,91.36,28.1,7.1,No
S2392,83.53,16.8,5.4,No
S2393,94.72,18.3,4.4,No
S2394,52.86,6,6.6,No
S2395,79.85,27.5,6.1,No
S2396,78.45,11.6,8.8,Yes
S2397,51.78,29.5,7,No
S2398,75.68,10.1,7.7,Yes
S2399,80.48,11.3,4.7,No
S2400,59.56,17.1,7.6,No
S2401,63.67,21.5,4.3,No
S2402,82.02,16,7.1,No
S2403,73.42,13.8,8.2,Yes
S2404,92.9,18.5,6.4,Yes
S2405,67.12,29,5.1,Yes
S2406,63.33,29,6.2,No
S2407,99.24,13.2,8.2,Yes
S2408,95.56,22,7.6,Yes
S2409,51.45,23,7,No
S2410,88.54,21.3,7.5,Yes
S2411,55.52,7.8,8.2,No
S2412,51.37,18.5,4.8,Yes
S2413,63.68,24.1,8.2,Yes
S2414,63.47,10,8,No
S2415,90.97,13.7,6.4,Yes
S2416,85.53,10.1,6,No
S2417,99.08,27.2,8.7,Yes
S2418,85.58,26.5,8.1,Yes
S2419,70.91,9.2,8.9,No
S2420,84.95,24,7.2,Yes
S2421,99.97,14.1,4.2,No
S2422,85.51,22.2,4.8,No
S2423,88.08,17.3,8.1,Yes
S2424,96.92,16.8,7.2,No
S2425,55.68,27,5,Yes
S2426,85.24,20.9,4.1,Yes
S2427,92.54,10.9,5.3,No
S2428,97.72,7.8,4.7,No
S2429,60.55,28.3,8.4,No
S2430,75.2,8.8,8.4,Yes
S2431,84.03,23.4,8.2,Yes
S2432,62.37,17.4,4.5,No
S2433,80.02,8.5,4.7,Yes
S2434,62.88,24.4,4.7,No
S2435,66.67,27.6,5.3,No
S2436,72.08,8,4.4,Yes
S2437,76.46,6.7,8.9,Yes
S2438,72.47,26.2,8.3,No
S2439,74.66,17.5,4.3,Yes
S2440,64.93,21.9,4.7,Yes
S2441,57.95,16,5.3,Yes
S2442,52.37,15.3,7.9,No
S2443,59.8,12.5,7.6,No
S2444,79.1,19.1,7.2,No
S2445,89.31,9,8.6,Yes
S2446,58.46,22.9,4.2,Yes
S2447,55.43,18.7,4.8,No
S2448,87.46,26.2,4.9,Yes
S2449,65.26,28,4.3,Yes
S2450,97.57,27.5,7.1,No
S2451,85.72,20,5,Yes
S2452,66.34,13,6.4,Yes
S2453,64.48,13.9,7.4,Yes
S2454,76.18,21.3,7,No
S2455,53.96,22.8,5.5,No
S2456,55.88,9,6.1,No
S2457,58.79,29.9,5.7,Yes
S2458,88.74,7.7,8.3,Yes
S2459,75.69,20.2,6.1,Yes
S2460,50.53,18.3,4.3,Yes
S2461,83.68,19.8,7.1,Yes
S2462,71.18,18.3,5,Yes
S2463,75.54,6.4,5.7,Yes
S2464,60.71,29.9,5.6,Yes
S2465,77.59,29.5,4.4,Yes
S2466,98.96,18.1,8.8,Yes
S2467,53.67,10.2,6.7,Yes
S2468,64.2,9.6,4.8,Yes
S2469,62.15,6.4,6.8,Yes
S2470,62.43,20.3,6.3,No
S2471,68.94,17,5.7,No
S2472,90.91,15.4,6.4,No
S2473,95.64,18.1,7.3,No
S2474,60.11,26.8,5,Yes
S2475,77.15,6.8,6.7,No
S2476,81.84,18.6,8.1,No
S2477,76.09,22.5,5.1,No
S2478,71.7,29.3,6.6,Yes
S2479,59.6,23.5,8.8,No
S2480,74.41,18.7,8,Yes
S2481,70.06,24.2,7,No
S2482,89.78,29.9,7.7,Yes
S2483,88.18,27.2,6.6,No
S2484,56.7,7.2,8.9,Yes
S2485,54.43,19.4,4.8,No
S2486,95.41,24.7,7.6,Yes
S2487,76.78,21.8,4,No
S2488,92.89,15.4,4.6,No
S2489,52.91,13.1,7.6,No
S2490,76.33,20.7,7.8,Yes
S2491,76.97,15.3,4.2,Yes
S2492,93.04,14.8,5.7,Yes
S2493,54.88,25.9,4.6,Yes
S2494,62.02,12.9,8.5,No
S2495,70.33,21.1,6.3,Yes
S2496,93.29,26.8,6.2,No
S2497,96.94,20.5,8.1,Yes
